name,url,img_url,category,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,zinc_mg,phosphorus_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_b6_mg,vitamin_c_mg,folate_mcg,thiamin_mg,riboflavin_mg,vitamin_e_iu_IU,vitamin_k_mcg,biotin_mcg,vitamin_b12_mcg,mono_fat_g,poly_fat_g,trans_fatty_acid_g,omega_3_fatty_acid_g,omega_6_fatty_acid_g
Awesome Grilled Walleye (Scooby Snacks),https://www.allrecipes.com/recipe/237882/awesome-grilled-walleye-scooby-snacks/,,"Seafood ,Fish","I got this recipe from a guy I fish with up north, I love them; they are absolutely great, and I can't get enough of them. We call them 'Scooby Snacks' and usually have them around the campfire. Be sure your foil is good and sealed. When done, it will be puffed up like a pillow! You can use any white, flaky fish in place of walleye fillets.",3.43,7,7,"1 pound walleye fillets ; 2 12x12-inch squares aluminum foil ; 5 tablespoons butter, melted ; 1 pinch seasoned salt, or to taste ; 1 pinch garlic and herb seasoning blend (such as Mrs. Dash®), or to taste","Preheat an outdoor grill for medium-high heat. Place walleye, skin-side down, in the center of one aluminum foil square. Brush fillet with butter; season with seasoned salt and garlic and herb seasoning blend. Place second aluminum foil square over the fish and fold edges of the two pieces of foil together to form a secure packet. Cook on the preheated grill until fish flakes easily with a fork, about 7 minutes per side.",10 mins,15 mins,25 mins,2,2 servings,466.0,0.1,,31.6,18.8,271.4,43.7,,434.8,284.1,260.4,3.0,69.0,893.3,,,1076.2,13.4,,,35.1,0.6,,,,,,,,,,
Coconut Curry Fish,https://www.allrecipes.com/recipe/88230/coconut-curry-fish/,,"World Cuisine ,Asian","A wonderfully exotic but quick dish! Serve over brown rice, millet, or quinoa.",4.07,89,89,"2 cups water ; 1 cup uncooked brown rice ; 1 tablespoon vegetable oil ; 1 large onion, chopped ; 3 cloves garlic, crushed ; 1 pound cod fillets, cut into chunks ; 1 ½ tablespoons curry powder ; 2 teaspoons chili powder ; 1 teaspoon ground turmeric ; 1 teaspoon ground cumin ;  salt and pepper to taste ; 1 (14 ounce) can coconut milk ; 1 (16 ounce) package frozen stir-fry vegetables ; 1 tablespoon cornstarch","Bring the water and rice to a boil in a pot. Cover, reduce heat to low, and simmer 45 minutes. Heat the oil in a skillet over medium-high heat. Stir in the onion and garlic, and cook 1 minute. Mix in cod, and season with curry powder, chili powder, turmeric, cumin, salt, and pepper. Pour in the coconut milk, and mix in  . Cover, and cook 10 minutes, or until vegetables are tender and cod is easily flaked with a fork. Drain 1/2 cup liquid from the skillet into a bowl, and mix with cornstarch. Stir back into skillet to thicken sauce. Serve over the cooked rice.",15 mins,15 mins,30 mins,6,6 servings,352.8,32.1,2.7,18.0,13.0,27.3,18.9,5.1,282.6,162.0,84.5,4.7,110.7,742.7,,,1978.0,6.6,,17.9,42.6,0.1,,,,,,,,,,
Beer Batter for Fish,https://www.allrecipes.com/recipe/12777/beer-batter-for-fish/,,"Seafood ,Fish","Basic beer batter, good for almost any white fleshed fish.",4.23,197,203,3 eggs ; ¾ cup beer ; 1 ½ cups milk ; 4 cups pastry flour ; 1 tablespoon baking powder ; ½ teaspoon baking soda ; 2 tablespoons cornstarch ;  salt to taste ;  ground black pepper to taste ; .063 teaspoon garlic powder ; 1 ½ pounds cod fillets ; 2 quarts vegetable oil for frying,"In a medium bowl, stir together flour, baking powder, baking soda, and cornstarch. In a large bowl, beat together eggs and milk. Mix in beer. Stir in flour mixture. Season with salt, black pepper, and garlic powder. In an electric deep fryer or a heavy saucepan, heat oil to 375 degrees F (190 degrees C). Coat fish in batter, and submerge in hot oil. Fry until golden brown, about 4 to 5 minutes. Serve.",10 mins,5 mins,15 mins,6,2 to 4 servings,772.1,74.8,3.7,41.5,6.7,142.2,28.9,10.9,491.7,373.4,247.3,5.2,34.2,823.5,,,263.9,7.6,,2.0,24.5,,,,,,,,,,,
Smoked Salmon Quiche,https://www.allrecipes.com/recipe/237700/smoked-salmon-quiche/,,"Breakfast and Brunch ,Eggs","Quiche quickly became my specialty. If you like smoked salmon, this dish will both surprise you and impress your guests. Best served with Caesar salad.",4.47,32,39,"1 (9 inch) pie crust pastry ; 8 ounces smoked salmon, or more to taste, broken into small pieces ; 5 ounces cream cheese ; 1 teaspoon dill (Optional); 8 eggs, or more to taste ; ¾ cup milk ;  salt and ground black pepper to taste ; 1 (8 ounce) package shredded mozzarella cheese","Preheat oven to 350 degrees F (175 degrees C). Press pie crust pastry into a pie dish. Bake in the preheated oven until lightly golden, 10 to 12 minutes. Arrange salmon into the baked pie crust to cover evenly. Spread cream cheese over over salmon layer using your hands. Sprinkle dill over cream cheese layer. Beat eggs, milk, salt, and pepper together in a bowl; pour over cream cheese layer just below crust edge. Sprinkle mozzarella cheese over egg layer. Bake in the preheated oven until quiche is set and middle has risen, 40 to 50 minutes. Cool for 5 minutes before slicing.",10 mins,50 mins,1 hr 5 mins,8,8 servings,362.8,13.0,1.8,24.8,10.7,231.8,21.7,0.8,663.7,222.8,291.9,2.1,24.1,210.4,,,690.6,6.5,,0.1,47.4,0.1,,,,,,,,,,
Pan-Fried Swai Fillets,https://www.allrecipes.com/recipe/242327/pan-fried-swai-fillets/,,"Seafood ,Fish","My husband loves fish. Since I am allergic, I don't partake. Swai was on sale at the grocery so we picked some up. Since he has never tried it before, I decided to cook it in a familiar way for him. He devoured it. I served this with honeyed carrots and fried yellow squash.",4.53,15,19,2 teaspoons red pepper flakes ; 1 teaspoon seafood seasoning (such as Old Bay®) ; 1 teaspoon garlic powder ;  salt and ground black pepper to taste ; 1 cup cornmeal ; 4 (4 ounce) fillets swai fish ; 2 tablespoons canola oil ; ¼ cup water,"Combine red pepper flakes, seafood seasoning, garlic powder, salt, and pepper in a bowl. Spread corn meal into a shallow bowl. Season swai fish with red pepper flake mixture and press each fillet into cornmeal to coat. Wrap coated fillets in plastic wrap and refrigerate for 30 minutes. Heat oil in a skillet over medium heat. Unwrap fish and place in the hot oil; cook until browned, about 5 minutes per side. Add water, bring to a simmer, cover, and cook, flipping occasionally, until fish flakes easily with a fork, about 10 minutes.",10 mins,20 mins,1 hr,4,4 servings,330.2,28.7,0.9,14.9,2.1,56.6,19.4,1.9,238.8,134.2,12.2,2.4,37.9,374.5,,,742.2,7.5,,2.0,82.0,0.6,,,,,,,,,,
Sheet Pan Shrimp Fajitas,https://www.allrecipes.com/recipe/258572/sheet-pan-shrimp-fajitas/,,"World Cuisine ,Latin American","Quick and easy shrimp fajitas in one pan. Serve with tortillas, cilantro, and avocado or any other condiments you like.",4.7,77,77,"1 (1 ounce) package fajita seasoning ; 1 tablespoon olive oil ; 1 ½ pounds raw shrimp, peeled and deveined ; 1 red bell pepper, sliced into strips ; 1 yellow bell pepper, sliced into strips ; 1 red onion, sliced into strips ; 1 jalapeno pepper, sliced into rings","Preheat oven to 450 degrees F (230 degrees C). Mix fajita seasoning and olive oil together in a large bowl. Add shrimp; toss to coat. Lay out seasoned shrimp in a single layer on a baking sheet. Add red bell pepper, yellow bell pepper, red onion, and jalapeno pepper; mix with shrimp and spread out evenly. Roast in the preheated oven until shrimp are opaque, 8 to 10 minutes. Transfer shrimp to a serving plate. Broil pepper mixture until lightly blackened, 2 to 3 minutes. Transfer to the serving plate with shrimp.",20 mins,10 mins,30 mins,8,8 servings,100.1,4.9,1.2,2.5,0.4,129.4,14.2,0.6,397.9,22.3,30.3,2.2,26.1,176.0,,,629.3,5.2,,22.2,12.9,,,,,,,,,,,
Fried Soft-Shell Crab,https://www.allrecipes.com/recipe/73867/fried-soft-shell-crab/,,"Main Dishes ,Seafood Main Dishes","These crabs are fried to a light crisp, and you can eat the whole crab. It is my favorite food.",4.71,41,46,"4 soft-shell crabs ; 1 egg ; ½ cup milk ; 1 cup all-purpose flour ;  salt and pepper to taste ; 4 cups oil for frying, or as needed","Clean each crab. Lift one pointed side of top shell and remove the gills by pulling them out. Put top shell back down and repeat on other side. On the bottom side remove tail flap by twisting and pulling off. Using a pair of scissors, remove the face by cutting behind the eyes. Rinse the crabs thoroughly with cold water. Dry on paper towels. Heat oil in a deep fryer to 365 degrees F (180 degrees C). In a shallow dish, whisk together the egg and milk using a fork. In a separate bowl, stir salt and pepper into the flour. Lightly salt the crab, then dip in the flour, dip in the egg, then in the flour again. Carefully place crabs into the deep-fryer. Cook for 1 to 2 minutes, or until golden brown on one side. Carefully turn over, and cook until golden on the other side. Drain on paper towels. Serve as soon as they are cool enough to eat. You can eat the whole crab.",20 mins,15 mins,35 mins,4,4 servings,357.9,25.4,1.6,24.4,3.7,65.2,9.1,0.8,76.0,219.9,63.9,1.8,17.1,148.6,,,119.7,4.4,,0.6,72.9,0.3,,,,,,,,,,
Chef John's Lobster Thermidor,https://www.allrecipes.com/recipe/262161/chef-johns-lobster-thermidor/,,"Seafood ,Shellfish","I used a nice light sauce on this iconic special occasion dish--lobster thermidor--rather than the thick, cheesy sauce popular in the '80s. Lobster is sweet and rich tasting on its own, so the lighter sauce makes so much sense. And what's even better, you can prep these ahead of time and just pop them in the oven when your guests arrive!",4.5,74,75,"4 (4 ounce) lobster tails ; 3 tablespoons butter, divided ; 2 tablespoons minced shallots ;  Salt, to taste ; 1 ½ cups diced mushrooms (Optional); 1 tablespoon all-purpose flour ; 2 tablespoons cognac or brandy ; ½ cup whole milk ; 2 tablespoons creme fraiche or heavy cream ; 1 tablespoon chopped fresh tarragon ;  Cayenne pepper, to taste ; 2 teaspoons fine dried bread crumbs ; 2 teaspoons freshly grated Parmigiano-Reggiano cheese ; 2 teaspoons melted butter","Cut bottom shell of lobster tails using kitchen shears along each side where it meets the top shell; do not remove the shell at this point. Melt 2 tablespoons butter in a skillet over medium-high heat. Place lobster tails cut side down in the butter. Cook, covered, about 3 minutes. Turn lobster tails over (they are curved so will lean to 1 side); cover and cook 1 minute. Lean them to the other side; cover and cook 1 minute more. Remove from heat. Transfer lobster tails to a bowl. Remove any shell pieces from the skillet. Place 1 tablespoon butter in the skillet over medium heat; add shallots and pinch of salt. Cook and stir until pan starts to deglaze and shallots soften, 3 to 4 minutes. Add mushrooms; cook stir until golden brown, 5 to 6 minutes. Add flour; stir until mushrooms are coated and cook for 2 minutes. Pour in cognac; use a kitchen torch to flame cognac to burn off alcohol. This will take just a few seconds. Add milk; cook and stir until pan is completely deglazed and milk begins to thicken and turn bubbly, about 2 minutes. Remove from heat. Stir in creme fraiche. Let cool. Remove lobster meat from the shell, leaving top shell intact. Remove any bits of bottom shell from the meat. Preheat oven to 450 degrees F (230 degrees C). Line a baking pan with crinkled up foil. Make 4 channel-like indentations in the foil to hold and stabilize the lobster tails as they bake. Slice lobster meat down the middle and check for and remove any dark veins. Chop into 1/2-inch pieces. Transfer meat to a mixing bowl. Add cooled sauce, tarragon, pinch of salt, and cayenne pepper. Stir gently until well blended. Divide mixture among the lobster tail shells; place in prepared foil-lined pan. Sprinkle each lobster tail with about 1/2 teaspoon bread crumbs and 1/2 teaspoon grated cheese. Drizzle melted butter on the stuffed shells. Bake in preheated oven until nicely browned and heated through, about 10 minutes. If you like, you can turn on the broiler and broil 1 minute until tops are golden and crispy.",20 mins,30 mins,1 hr,2,2 servings,590.3,13.8,4.6,35.3,21.5,220.2,41.4,0.8,1007.8,317.4,219.7,1.4,77.9,926.1,,,1221.4,13.8,,2.0,44.7,0.1,,,,,,,,,,
Garlic Butter Smoked Shrimp,https://www.allrecipes.com/recipe/278091/garlic-butter-smoked-shrimp/,,"Seafood ,Shellfish","One of the quickest meals you can make in your smoker is shrimp, done in just 30 minutes. These shrimp are lightly seasoned to let the smoke flavor shine, but add more seasoning if desired. Because of the short smoke time, feel free to use a stronger-flavored wood such as hickory or mesquite. Serve with cheesy grits, rice, atop a salad, or as an appetizer with a remoulade sauce.",5.0,2,2,"1 pound large shrimp, peeled and deveined ; 1 teaspoon Cajun seasoning ; 1 teaspoon olive oil ; ½ cup butter ; 1 clove garlic, minced ; ¼ teaspoon red pepper flakes ; ⅛ teaspoon black pepper ; 3 thin strips lemon peel ; 5 sprigs fresh thyme","Place shrimp in a resealable plastic bag. Sprinkle with Cajun seasoning and drizzle with olive oil. Toss shrimp around in the bag to evenly distribute seasoning. Refrigerate for 1 to 2 hours. Preheat a smoker to 250 degrees F (120 degrees C). Add wood chips according to manufacturer's instructions. Place butter in a microwave-safe dish and cook on high until completely melted, 20 to 30 seconds. Stir in lemon peel, garlic, red pepper flakes, and black pepper. Arrange shrimp in even rows in a 8x10-inch aluminum pan. Place thyme sprigs between each row. Drizzle butter mixture over shrimp. Place in the preheated smoker and cook shrimp until firm and orange-pink in color, about 30 minutes. The internal temperature should be 120 degrees F (49 degrees C), about 30 minutes. Do not overcook as the shrimp will become rubbery. Serve immediately.",10 mins,30 mins,1 hr 40 mins,4,4 servings,306.3,1.1,0.1,25.2,15.0,233.6,18.9,0.4,480.6,227.2,47.3,2.9,32.3,188.3,,,1005.7,2.4,,5.1,4.6,,,,,,,,,,,
King Crab and Shrimp Boil,https://www.allrecipes.com/recipe/241996/king-crab-and-shrimp-boil/,,"Soups, Stews and Chili Recipes ,Stews",My own adaptation of frogmore stew. An easy southern comfort dish...just throw it all in the pot! Serve in large bowls as a stew. Peel shrimp and crab as you eat.,4.85,13,13,"6 quarts water, and more as needed ; ¼ cup seafood seasoning (such as Old Bay®), or to taste ; 1 pound small red potatoes ; 2 pounds king crab legs ; 2 cups chopped carrots ; 1 ½ cups chopped celery ; 12 pearl onions ; 1 pound spicy sausage links, cut into rounds ; 4 ears corn, husked ; 2 pounds unpeeled shrimp","Bring 6 quarts water to a boil in a large stewing pot; add seafood seasoning. Cook potatoes in the seasoned water for 15 minutes. Bring a separate pot of water to a boil; add seafood seasoning to taste. Cook crab legs until meat is tender, about 10 minutes. Mix carrots, celery, and onions into potatoes; cook until vegetables are tender, about 10 minutes. Add sausage and corn and continue boiling for 5 minutes more. Add shrimp and transfer crab legs to same pot; cook until shrimp are cooked through and pink, 2 to 3 minutes.",10 mins,45 mins,55 mins,4,4 servings,982.7,47.6,8.3,47.3,13.8,578.3,90.6,6.8,3649.5,425.5,357.8,9.5,215.5,2166.7,,,11934.2,36.2,,30.9,184.4,0.8,,,,,,,,,,
Shrimp Spaghetti with Tomato Sauce,https://www.allrecipes.com/recipe/263413/shrimp-spaghetti-with-tomato-sauce/,,"Main Dishes ,Pasta",A delicious spaghetti dish with large shrimp in a tomato sauce.,4.44,9,11,"20 large shrimp, deveined with shell and head left on ; 4 tomatoes, or more to taste ; 1 bunch flat-leaf parsley, divided ; ¼ cup extra-virgin olive oil ; 1 large onion, chopped ; 1 red bell pepper, chopped ; 1 fresh red chile pepper, finely chopped ; 4 large cloves garlic, sliced, or more to taste ; ½ cup water ; 2 tablespoons tomato paste ; 1 tablespoon dried oregano ;  salt and ground black pepper to taste ; 1 teaspoon paprika ; 1 ⅝ pounds spaghetti (Optional)","Peel shrimp and place skin, heads, and tails into a large saucepan. Fill pan with water and bring to a boil. Reduce heat to low and let simmer, about 45 minutes. Combine tomatoes and 1/2 the parsley in a blender; puree until smooth. Heat olive oil in a separate pan over medium heat. Add onion, bell pepper, and chile pepper; cook and stir until softened, about 5 minutes. Add garlic; cook until fragrant but not browned, 1 to 2 minutes. Pour pureed tomato mixture into the pan with the peppers. Add water, tomato paste, oregano, salt, and black pepper. Stir well; add paprika. Let sauce simmer on low to medium heat until juices have reduced. Strain shrimp shells from the water. Bring water back to a boil and add spaghetti. Cook spaghetti, stirring occasionally, until tender yet firm to the bite, about 12 minutes. Reserve 1 cup of the cooking water and drain the rest. In the meantime, add shrimp to the tomato sauce. Add the reserved water, stir well, and cook until shrimp is pink, about 3 minutes. Plate spaghetti and spoon the sauce on top; garnish with the remaining parsley.",15 mins,1 hr 5 mins,1 hr 20 mins,8,8 servings,485.7,77.5,6.7,9.3,1.4,79.9,22.4,5.4,159.6,83.3,75.1,5.6,84.2,641.5,,,2109.0,11.7,,50.9,256.6,1.0,,,,,,,,,,
Pan Fried Halibut Steak with Light Green Sauce,https://www.allrecipes.com/recipe/93015/pan-fried-halibut-steak-with-light-green-sauce/,,"Main Dishes ,Seafood Main Dishes",A delightful and rich halibut recipe with a memorable herbed white wine cream sauce.,4.55,201,205,"4 (8 ounce) halibut steaks ;  salt and pepper to taste ; ½ cup all-purpose flour for dusting ; ¼ cup melted butter ; ¼ cup dry white wine ; 1 lemon, juiced ; ½ cup heavy cream ; 2 tablespoons finely chopped fresh parsley ; 4 tablespoons finely chopped fresh basil ; 2 tablespoons drained capers","Rinse the halibut steaks and pat dry. Season with salt and pepper, then dust with flour. Melt the butter in a large skillet over medium-high heat. Fry the halibut steaks in the butter for 4 to 5 minutes, until nicely browned. Remove from the skillet and keep warm. Reduce the heat to medium, and stir the wine into the pan, scraping up any browned bits stuck to the bottom. Mix in the lemon juice, then stir in the cream. Simmer for 2 to 3 minutes or until it starts to thicken. Season with parsley, basil and capers, and stir for another minute. Serve halibut with sauce spooned over it. Garnish with additional parsley if desired.",10 mins,15 mins,25 mins,4,4 servings,526.6,16.5,0.3,28.0,14.9,143.0,49.6,1.9,344.2,251.7,156.9,3.1,201.8,1120.3,,,1416.8,22.8,,24.1,62.4,0.3,,,,,,,,,,
Garlic Salmon,https://www.allrecipes.com/recipe/20193/garlic-salmon/,,"Main Dishes ,Seafood Main Dishes","A large salmon filet, steamed in foil and cooked either in the oven or barbecue. It's seasoned with minced garlic, fresh baby dill, lemon slices, fresh ground pepper and green onions.",4.52,562,618,"1 ½ pounds salmon fillet ;  salt and pepper to taste ; 3 cloves garlic, minced ; 1 sprig fresh dill, chopped ; 5 slices lemon ; 5 sprigs fresh dill weed ; 2 green onions, chopped","Preheat oven to 450 degrees F (230 degrees C). Spray two large pieces of aluminum foil with cooking spray. Place salmon fillet on top of one piece of foil. Sprinkle salmon with salt, pepper, garlic and chopped dill. Arrange lemon slices on top of fillet and place a sprig of dill on top of each lemon slice. Sprinkle fillet with chopped scallions. Cover salmon with second piece of foil and pinch together foil to tightly seal. Place on a baking sheet or in a large baking dish. Bake in preheated oven for 20 to 25 minutes, until salmon flakes easily.",15 mins,25 mins,40 mins,6,4 to 6 servings,169.0,2.1,0.1,6.7,1.4,50.4,24.5,0.7,48.4,60.2,54.3,0.8,33.8,440.3,,,164.4,11.5,,11.1,12.3,0.1,,,,,,,,,,
Best Ever Tuna Salad,https://www.allrecipes.com/recipe/23570/best-ever-tuna-salad/,,"Salad ,Seafood Salad Recipes","Creamy, delicious tuna salad with a surprise ingredient!",4.4,136,133,"2 eggs ; 2 (5 ounce) cans tuna, drained ; 1 (6 ounce) can crabmeat, shredded ; ½ cup mayonnaise ; 1 teaspoon sour cream ; 1 teaspoon yellow mustard ; ½ teaspoon dried dill weed ; ⅛ teaspoon lemon pepper ; 2 tablespoons dill pickle relish ; 2 tablespoons sweet pickle relish ; ¾ cup finely chopped onion","Place eggs in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop finely. In a mixing bowl, combine tuna, crabmeat, mayonnaise, sour cream and mustard. Stir in chopped egg, dill weed, lemon pepper, dill and sweet relish and chopped onion. Mix thoroughly.",15 mins,,15 mins,8,8 servings,187.4,3.5,2.1,12.9,2.2,80.1,14.3,0.4,260.1,115.8,39.8,1.0,21.0,202.6,,,178.9,7.4,,1.8,20.0,,,,,,,,,,,
Basil Shrimp,https://www.allrecipes.com/recipe/14580/basil-shrimp/,,"Seafood ,Shellfish","This was given to me by my friend, Elaine. It is one of the most delicious shrimp recipes for the BBQ I have ever had, and it is so easy. My son would eat the whole recipe if I didn't watch him.",4.6,1050,1067,"2 ½ tablespoons olive oil ; ¼ cup butter, melted ; 1 ½ lemons, juiced ; 3 tablespoons Dijon mustard (such as Grey Poupon Country Mustard™) ; ½ cup minced fresh basil leaves ; 3 cloves garlic, minced ;  salt to taste ;  white pepper ; 3 pounds fresh shrimp, peeled and deveined ;  skewers","In a shallow, non-porous dish or bowl, mix together olive oil and melted butter. Stir in lemon juice, mustard, basil, and garlic, and season with salt and white pepper. Add shrimp, and toss to coat. Cover, and refrigerate for 1 hour. Preheat grill to high heat. Remove shrimp from marinade, and thread onto skewers. Discard marinade. Lightly oil grill grate, and arrange skewers on preheated grill. Cook for 4 minutes, turning once, or until opaque.",25 mins,5 mins,1 hr 30 mins,9,9 servings,205.7,2.4,0.3,10.2,4.1,243.9,25.0,0.4,426.4,91.7,56.4,3.8,42.9,240.8,,,548.8,8.9,,8.5,7.6,,,,,,,,,,,
Shrimp and Grits Louisiana Style,https://www.allrecipes.com/recipe/220907/shrimp-and-grits-louisiana-style/,,"Side Dish ,Grain Side Dish Recipes",Probably the best shrimp and grits recipe I have made! Easy and low ingredient count!,4.59,56,66,"1 cup water ; 1 pinch salt ; 6 tablespoons grits ; 2 tablespoons olive oil ; ½ cup diced tasso ham ; 2 tablespoons diced onion ; 2 tablespoons diced green bell pepper ; 20 medium shrimp, peeled and deveined ; ¼ cup white wine ; 1 cup heavy whipping cream ;  salt and ground black pepper to taste ; 1 tablespoon chopped green onion, green parts only","Bring water and 1 pinch of salt to a boil in a saucepan and slowly mix in the grits, stirring constantly. Reduce heat to low and simmer grits until tender and smooth, about 20 minutes; stir often. Set aside and keep warm. Heat olive oil in a large skillet over medium-high heat; cook and stir tasso ham until crisp. Stir in onion and green bell pepper and cook until onion is translucent, about 4 minutes. Lightly stir the shrimp with the vegetables and olive oil just until pink, 30 to 45 seconds; remove shrimp from pan and set aside. Pour white wine into the skillet and stir, dissolving any browned bits of food in the bottom of the skillet; slowly add the cream, reduce heat to low, and simmer until thickened, about 10 minutes. Season with salt and black pepper. Divide the grits onto 2 serving plates and line the edge of each plate with 10 shrimp. Pour cream sauce over grits and sprinkle each serving with chopped green onion tops.",20 mins,20 mins,40 mins,2,2 servings,677.2,9.5,1.1,60.1,30.1,271.9,20.6,0.5,751.2,541.1,109.8,2.2,38.4,372.8,,,1918.4,7.8,,10.5,22.1,0.4,,,,,,,,,,
Shrimp Alfredo Pasta,https://www.allrecipes.com/recipe/23968/shrimp-alfredo-pasta/,,"Main Dishes ,Pasta",A wonderful shrimp pasta dish! I came up with this on my own one night. You can change the amount of ingredients to your taste.,4.42,122,141,"1 (16 ounce) jar Alfredo-style pasta sauce ; 1 (16 ounce) package angel hair pasta ; 2 pounds fresh shrimp, peeled and deveined ; 1 cup butter, melted ; ½ small green bell pepper, diced ; ½ small red onion, finely chopped ; 1 teaspoon garlic powder ; ½ teaspoon ground cumin","In a saucepan over low-temperature, heat the  . Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 minutes or until al dente; drain. Boil shrimp in a large pot of water until they turn orange. Then place in bowl with melted butter. Let shrimp marinate for 15 to 30 minutes; remove. In a large skillet over medium heat, saute the green pepper and onion in a small amount of oil. Mix together the cooked pasta, shrimp, pepper-onion mixture and Alfredo sauce. Season with garlic powder and cumin.",15 mins,30 mins,45 mins,8,8 servings,621.1,34.9,3.3,42.0,21.2,256.7,27.7,2.2,1038.3,378.1,44.3,4.3,32.3,299.4,,,931.9,9.7,,5.7,45.9,,,,,,,,,,,
Tteokbokki (Korean Spicy Rice Cakes),https://www.allrecipes.com/recipe/265318/tteokbokki-korean-spicy-rice-cakes/,,uncategorized,"It is made with rice cakes (garaetteok, cylinder-shaped rice cake), fish cakes, boiled egg, and seasoned with chile paste. The rice cakes are chewy and tender. It looks super spicy and, originally, it is! But you can control the amount of chile paste. You might be able to find it easily at food vendors on the street of Korea. There are always delicious dukbokki boiling and ready to go. Garnish with sesame seeds if you like.",5.0,1,2,"3 cups water ; 2 dried anchovies, or more to taste ; 3 tablespoons chile paste ; 2 tablespoons white sugar ; 1 tablespoon soy sauce ; 1 tablespoon corn syrup ; 2 Korean fish cakes, sliced ; ½ onion, thickly sliced ; 1 spring onion, thickly sliced","Combine water and anchovies in a saucepan and bring to a boil. Cook for 10 minutes. Remove anchovies. Combine chile paste, sugar, soy sauce, and corn syrup in a bowl to make the sauce. Add rice cakes and onion to the anchovy water in the saucepan. Add sauce. Bring to a boil and cook for 5 minutes, stirring occasionally. Add spring onion and boil 3 minutes more.",5 mins,25 mins,30 mins,2,2 servings,182.8,41.6,22.4,3.3,1.5,16.4,4.4,1.2,733.4,29.9,38.8,0.4,21.8,164.2,,,79.4,0.9,,5.6,17.0,,,,,,,,,,,
Shrimp and Vegetable Sheet Pan Dinner,https://www.allrecipes.com/recipe/269152/shrimp-and-vegetable-sheet-pan-dinner/,,"Seafood ,Shellfish","A simple and delicious sheet pan dinner with shrimp and vegetables - you can use any combination of vegetables you like, but try to cut them all in even pieces.",4.38,8,4,"1 red onion, coarsely chopped ; 1 red bell pepper, chopped ; 1 cup sliced fresh mushrooms ; 1 zucchini, chopped ; 3 tablespoons olive oil, divided ;  salt and freshly ground black pepper to taste ; ¼ teaspoon paprika ; 1 pound fresh shrimp, peeled and deveined ; 1 teaspoon lemon zest ; ½ teaspoon garlic powder","Preheat the oven to 425 degrees F (220 degrees C). Combine red onion, bell pepper, mushrooms, zucchini, 2 tablespoons olive oil, salt, pepper, and paprika on a sheet pan and toss well to combine. Roast in the preheated oven until vegetables are softened, about 15 minutes. While vegetables are roasting, combine shrimp, 1 tablespoon olive oil, lemon zest, garlic powder, salt, and pepper in a bowl. Toss to combine. Remove roasted vegetables from the oven and add shrimp to sheet pan, spreading everything out evenly in one layer. Return to oven and bake until shrimp are pink and cooked through, 5 to 7 minutes.",15 mins,20 mins,35 mins,4,4 servings,207.7,6.3,3.3,11.3,1.7,172.6,20.1,1.7,243.5,102.0,49.2,3.2,43.5,405.0,,,1260.3,3.7,,48.2,33.6,0.1,,,,,,,,,,
Herbed Shrimp Scampi in a Pouch,https://www.allrecipes.com/recipe/229962/herbed-shrimp-scampi-in-a-pouch/,,"Main Dishes ,Seafood Main Dishes","Quick, easy, and delish! Serve one bundle to each person with some good crusty bread to dip in juices.",4.38,16,12,"1 cup butter ; 1 clove garlic, minced ; ¼ teaspoon dried rosemary ; ¼ teaspoon dried basil ; 3 tablespoons lemon juice ; 2 tablespoons dry white wine ; ½ teaspoon salt ; ½ teaspoon ground black pepper ; 2 pounds medium shrimp, peeled and deveined ;  6 12x12-inch squares of aluminum foil","Preheat grill for medium heat. Melt butter in a large skillet over medium heat; cook and stir garlic, rosemary, and basil in the hot butter until garlic is fragrant and beginning to brown, about 5 minutes. Stir lemon juice, white wine, salt, and black pepper into butter and garlic. Arrange about 6 shrimp onto each square of aluminum foil and drizzle the butter and herb mixture over shrimp. Gather up the corners of the foil squares and twist the tops to form tight packets. Grill the packets on the preheated grill until shrimp are opaque and pink, 10 to 12 minutes.",20 mins,15 mins,35 mins,6,6 servings,395.9,1.1,0.3,32.0,19.8,311.8,25.1,0.1,676.9,287.8,59.4,3.8,42.5,243.2,,,1218.6,8.9,,6.3,7.1,,,,,,,,,,,
