id,nom,img_url,time_total,time_prepa,time_repo,time_cuisson,difficylty,budget,numberP,etape,ingredients
147,Chapon farci aux figues et au foie gras,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w96h96c1.jpg,2 h 30 min,30 min,-,2 h,moyenne,assez cher,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Farce : '}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Tremper les figues 5 min dans de l'eau chaude, jusqu'à ce qu'elles soient tendres. Les émincer en tout petits morceaux.""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Préparer 1 cube de bouillon de volaille dans 1/4 de litre d'eau. Ajouter le vin blanc et les figues. Couvrir et laisser 10 min à feu moyen. Réserver.""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Emincer les échalotes, les oignons et le foie de volaille. Faire revenir échalotes et oignons dans du beurre pendant 2 à 3 min puis ajouter le foie de volaille pendant 3 min. Mettre dans un saladier.'}, {'etap_id': 4, 'titre': 'Étape 5', 'description': ""Dans la même poêle, faire réduire le porto jusqu'à en obtenir 2 à 3 cuillères à café, ajouter dans le saladier.""}, {'etap_id': 5, 'titre': 'Étape 6', 'description': 'Ajouter le foie gras coupés en morceaux et le mélange figues-vin blanc. Si le mélange vous paraît trop liquide, ajouter de la mie de pain (préalablement trempée dans du lait tiède très rapidement). Assaisonner (sel, poivre, thym, persil).'}, {'etap_id': 6, 'titre': 'Étape 7', 'description': 'Chapon : '}, {'etap_id': 7, 'titre': 'Étape 8', 'description': ""Dans une marmite, préparer un cube de bouillon de volaille et bouquet garni (selon la taille du chapon, environ 1,5 l d'eau).""}, {'etap_id': 8, 'titre': 'Étape 9', 'description': 'Y tremper les chapons pendant 10 min chacun. Garder le bouillon.'}, {'etap_id': 9, 'titre': 'Étape 10', 'description': 'Farcir les chapons et les mettre au four pendant environ 2h30 à 180°C (thermostat 6). Les arroser avec le bouillon toutes les demi-heures.'}]","[{'id_ingre': 1, 'nom_ingre': 'vin blanc', 'quantity': '25', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67771_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'cubes de bouillon', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67643_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'bouquet garni', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67407_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'oignons', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67621_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'porto', 'quantity': '12', 'image_ingre': 'https://assets.afcdn.com/recipe/20170718/70392_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 6, 'nom_ingre': 'pain de mie', 'quantity': '\xa0', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67589_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'sel', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67687_w96h96c1cx350cy350.jpg'}, {'id_ingre': 8, 'nom_ingre': 'poivre', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67563_w96h96c1cx350cy350.jpg'}, {'id_ingre': 9, 'nom_ingre': 'thym', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67735_w96h96c1cx350cy350.jpg'}, {'id_ingre': 10, 'nom_ingre': 'persil', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67650_w96h96c1cx350cy350.jpg'}, {'id_ingre': 11, 'nom_ingre': 'chapons', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/68982_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 12, 'nom_ingre': 'figues', 'quantity': '30', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67641_w96h96c1cx350cy350.jpg'}, {'id_ingre': 13, 'nom_ingre': 'foie', 'quantity': '300', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67649_w96h96c1cx350cy350.jpg'}, {'id_ingre': 14, 'nom_ingre': 'Foie gras', 'quantity': '200', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67410_w96h96c1cx350cy350.jpg'}, {'id_ingre': 15, 'nom_ingre': 'échalotes', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67402_w96h96c1cx3008cy2000.jpg'}]"
148,Paella rapide poulet chorizo,https://assets.afcdn.com/recipe/20160627/1795_w96h73c1cx1424cy2136.jpg,1 h 30 min,30 min,-,1 h,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': ""Faites cuire le riz dans une casserole. Le riz doit être recouvert d'eau (juste assez pour le recouvrir).""}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Faites cuire à feu moyen. C'est l'opération la plus longue et la plus fastidieuse, il faut souvent vérifie, et rajouter de l'eau, au fur et à mesure que le riz 'boit' l'eau, jusqu'à ce qu'il soit cuit. ""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Ajouter dès le début de cuisson le sachet d'épice. ""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Ajouter le 1/2 verre de vin blanc sec à mi-cuisson.'}, {'etap_id': 4, 'titre': 'Étape 5', 'description': ""Une fois que votre riz presque cuit, rajouter un fond de verre d'eau et ajouter tous les ingredients que vous souhaitez mettre dans la paella, et faite cuire à feu doux en remuant.""}, {'etap_id': 5, 'titre': 'Étape 6', 'description': ""Voilà c'est prêt et... c'est délicieux!""}, {'etap_id': 6, 'titre': 'Étape 7', 'description': ""Personnellement, je ne sale jamais mes cuissons, je laisse les gens saler après coup. De plus, le chorizo est déjà bien salé. Si vous n'en mettez pas, ajouter 3 pincées de sel dans l'eau de cuisson du riz.""}]","[{'id_ingre': 1, 'nom_ingre': 'riz', 'quantity': '5', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67667_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'chorizo', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67539_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'oignon', 'quantity': '⁄', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67621_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'vin blanc sec', 'quantity': '⁄', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67422_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'épices', 'quantity': '\xa0', 'image_ingre': 'https://assets.afcdn.com/recipe/20210316/118620_w96h96c1cx866cy866cxb1732cyb1732.jpg'}, {'id_ingre': 6, 'nom_ingre': 'poulets', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67769_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'crevette rose', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67494_w96h96c1cx350cy350.jpg'}, {'id_ingre': 8, 'nom_ingre': 'moules', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67458_w96h96c1cx350cy350.jpg'}]"
149,Cookies aux fruits secs,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w96h96c1.jpg,35 min,10 min,-,25 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Verser tous les ingrédients dans un grand saladier et mélanger. Si le mélange vous semblent trop liquide, ajouter alors une poignée. '}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Disposer une feuille de papier sulfurisé sur 2 plaques à cuisson et faire des petites tas.'}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Mettre au four (thermostat 6/180°C) pendant environ 25 mn, jusqu'à ce que les cookies aient pris une jolie teinte dorée.""}]","[{'id_ingre': 1, 'nom_ingre': 'raisins secs', 'quantity': '100', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67608_w96h96c1cx1541cy1030.jpg'}, {'id_ingre': 2, 'nom_ingre': 'lait concentré sucré', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20181203/84509_w96h96c1cx1200cy1200cxb2400cyb2400.jpg'}, {'id_ingre': 3, 'nom_ingre': 'corn flakes', 'quantity': '140', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/69007_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 4, 'nom_ingre': 'abricot', 'quantity': '100', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67622_w96h96c1cx256cy192cxb700cyb700.jpg'}]"
150,Pain aux fruits secs et séchés,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w96h96c1.jpg,1 h 30 min,30 min,-,1 h,très facile,moyen,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': ""Faites tremper les raisins secs dans de l'eau tiède pour qu'ils gonflent.""}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Concassez grossièrement les noix, noisettes et amandes. '}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Découpez les figues, pruneaux et abricots secs en morcaux.'}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Egouttez les raisins, mélangez-les avec les autres fruits puis ajoutez le kirsch et la cannelle. Laissez mariner 2 heures.'}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Prenez la pâte et pétrissez-la un peu. Incorporez-y les fruits macérés et pétrissez bien.'}, {'etap_id': 5, 'titre': 'Étape 6', 'description': ""Formez un pain et dorez-le au jaune d'oeuf. Laissez reposer 1 heure à température ambiante.""}, {'etap_id': 6, 'titre': 'Étape 7', 'description': 'Préchauffez le four à 180°C (thermostat 6).'}, {'etap_id': 7, 'titre': 'Étape 8', 'description': 'Enfournez pour 1 heure de cuisson.'}, {'etap_id': 8, 'titre': 'Étape 9', 'description': ""A la sortie du four, enveloppez le pain dans de l'aluminium et attendez 48 heures avant de déguster.""}]","[{'id_ingre': 1, 'nom_ingre': 'pruneau', 'quantity': '190', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67666_w96h96c1cx1700cy1320.jpg'}, {'id_ingre': 2, 'nom_ingre': 'raisins secs', 'quantity': '150', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67608_w96h96c1cx1541cy1030.jpg'}, {'id_ingre': 3, 'nom_ingre': 'noisettes', 'quantity': '60', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67496_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'cerneau de noix', 'quantity': '75', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/69102_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 5, 'nom_ingre': 'cannelle', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67747_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'pâte à pain', 'quantity': '300', 'image_ingre': 'https://assets.afcdn.com/recipe/20210118/117377_w96h96c1cx1060cy707cxb2121cyb1414.jpg'}, {'id_ingre': 7, 'nom_ingre': 'abricot', 'quantity': '190', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67622_w96h96c1cx256cy192cxb700cyb700.jpg'}, {'id_ingre': 8, 'nom_ingre': 'figue', 'quantity': '190', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67641_w96h96c1cx350cy350.jpg'}, {'id_ingre': 9, 'nom_ingre': 'kirsch', 'quantity': '7', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67726_w96h96c1cx350cy350.jpg'}, {'id_ingre': 10, 'nom_ingre': ""jaune d'oeuf"", 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20171128/75634_w96h96c1cx1250cy1250cxb2500cyb2500.jpg'}]"
151,Tarte de Noël aux fruits secs,https://assets.afcdn.com/recipe/20151224/2662_w96h73c1cx1976cy1492.jpg,1 h 10 min,30 min,-,40 min,très facile,moyen,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Etaler la pâte à tarte, froncer le moule. Répartir sur ce fonds de tarte les pommes épluchées et coupées en gros dés.'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Couper les figues, les dattes, les abricots secs, l'orange confite et disperser ces petits morceaux à côté des pommes.""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Saupoudrer avec la poudre d'amande, la cannelle, la cardamome.""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Répartir le miel sur les fruits. Enfourner 30 à 40 mn à thermostat 6.'}]","[{'id_ingre': 1, 'nom_ingre': 'pommes', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67365_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'raisins secs', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67608_w96h96c1cx1541cy1030.jpg'}, {'id_ingre': 3, 'nom_ingre': 'orange', 'quantity': '⁄', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67729_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'amandes', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67684_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'miel', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67597_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'cardamome', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67381_w96h96c1cx1980cy1256.jpg'}, {'id_ingre': 7, 'nom_ingre': 'cannelle', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67747_w96h96c1cx350cy350.jpg'}, {'id_ingre': 8, 'nom_ingre': 'pâte brisée', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67610_w96h96c1cx350cy350.jpg'}, {'id_ingre': 9, 'nom_ingre': 'mandarines', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67627_w96h96c1cx350cy350.jpg'}, {'id_ingre': 10, 'nom_ingre': 'figues', 'quantity': '5', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67641_w96h96c1cx350cy350.jpg'}, {'id_ingre': 11, 'nom_ingre': 'abricots', 'quantity': '5', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67622_w96h96c1cx256cy192cxb700cyb700.jpg'}, {'id_ingre': 12, 'nom_ingre': 'datte', 'quantity': '100', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67730_w96h96c1cx350cy350.jpg'}]"
152,Pudding aux fruits secs,https://assets.afcdn.com/recipe/20161130/18217_w96h73c1cx2808cy1872.jpg,1 h 10 min,25 min,-,45 min,facile,moyen,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'La veille:'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Faire tremper les abricots et les pruneaux dans un peu d'eau tiède. Mettre les raisins dans le rhum.""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Le lendemain :'}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Préchauffer le four à 160°C (thermostat 5-6).'}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Pour préparer la pâte :'}, {'etap_id': 5, 'titre': 'Étape 6', 'description': ""Couper le pain en petits dés. Fendre la gousse de vanille et la gratter. Dans une casserole : porter à ébullition le lait avec la gousse de vanille et le sucre. Lorsque le lait est chaud, ôter la gousse de vanille et verser le lait sur le pain rassis. Ecraser à l'aide d'une fourchette. Ajouter les oeufs entiers ainsi que les abricots et les pruneaux égouttés. Ajouter les raisins et le rhum. Remuer. Monter les blancs en neige avec le sel et les incorporer au mélange à l'aide d'une spatule.""}, {'etap_id': 6, 'titre': 'Étape 7', 'description': ""Préparer un caramel avec les 10 morceaux de sucre et le verser dans un moule à charlotte. Remuer le moule afin que le caramel s'étale sur toutes les parois.""}, {'etap_id': 7, 'titre': 'Étape 8', 'description': 'Verser la pâte dans le moule à charlotte, enfourner et faire cuire au bain-marie durant 45 minutes à 180°C (thermostat 6).'}, {'etap_id': 8, 'titre': 'Étape 9', 'description': ""Vérifier la cuisson à l'aide d'un couteau, la lame doit ressortir sèche.""}]","[{'id_ingre': 1, 'nom_ingre': 'pruneau', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67666_w96h96c1cx1700cy1320.jpg'}, {'id_ingre': 2, 'nom_ingre': 'raisins secs', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67608_w96h96c1cx1541cy1030.jpg'}, {'id_ingre': 3, 'nom_ingre': 'rhum', 'quantity': '10', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67743_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'lait', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67388_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'sucre', 'quantity': '150', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'vanille', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67724_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'sel', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67687_w96h96c1cx350cy350.jpg'}, {'id_ingre': 8, 'nom_ingre': 'sucre', 'quantity': '10', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 9, 'nom_ingre': 'abricot', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67622_w96h96c1cx256cy192cxb700cyb700.jpg'}, {'id_ingre': 10, 'nom_ingre': 'pain', 'quantity': '400', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67639_w96h96c1cx350cy350.jpg'}, {'id_ingre': 11, 'nom_ingre': 'oeufs', 'quantity': '4', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
153,Gnocchis au maroilles,https://assets.afcdn.com/recipe/20150218/65151_w96h73c1cx640cy360.jpg,13 min,5 min,-,8 min,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Dans une sauteuse anti-adhésive, verser la crème avec le bouillon. Ajouter les gnocchis, du sel, de la muscade et le maroilles coupé en dés.'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Porter à ébullition et remuer jusqu'à cuisson (8 min environ).""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Ajouter le parmesan, c'est prêt !!""}]","[{'id_ingre': 1, 'nom_ingre': 'crème fraîche', 'quantity': '20', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67763_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'Parmesan', 'quantity': '30', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67344_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'muscade', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67662_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'sel', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67687_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'gnocchi', 'quantity': '400', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67360_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'bouillon', 'quantity': '10', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67659_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'maroilles', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67531_w96h96c1cx350cy350.jpg'}]"
154,Beignets de Maroilles,https://assets.afcdn.com/recipe/20200214/107634_w96h73c1cx2654cy1769cxb5308cyb3539.jpg,15 min,10 min,-,5 min,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': ""Mixer les oeufs, la farine, le lait et l'huile (ça vous fait une pâte à crèpes... Réajuster avec du lait ou de la farine selon consistance).""}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Couper des tranches épaisses de Maroilles.'}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Paner les tranches avec de la farine (Attention à bien recouvrir toutes les faces).'}, {'etap_id': 3, 'titre': 'Étape 4', 'description': ""Plonger les tranches dans la pâte à l'aide d'une fourchette.""}, {'etap_id': 4, 'titre': 'Étape 5', 'description': ""Plonger les tranches recouvertes de pâte, à l'aide d'une fouchette, dans une friteuse (attention si la pâte ne recouvre pas entièrement le fromage celui-ci ne restera pas dans le beignet) pendant 5 min environ.""}, {'etap_id': 5, 'titre': 'Étape 6', 'description': 'Egoutter sur du papier absorbant et servir chaud.'}]","[{'id_ingre': 1, 'nom_ingre': 'farine', 'quantity': '5', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'lait', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67388_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'huile', 'quantity': '⁄', 'image_ingre': 'https://assets.afcdn.com/recipe/20220117/127496_w96h96c1cx411cy411cxb822cyb822.jpg'}, {'id_ingre': 4, 'nom_ingre': 'sel', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67687_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'maroilles', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67531_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'oeufs', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
155,Smoothie fraise et cerise,https://assets.afcdn.com/recipe/20150501/41561_w96h73c1cx972cy972.jpg,10 min,10 min,-,-,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Coupez les fraises en rondelles et enlevez le noyau des cerises et mettez que la chair. Ajoutez le lait et mixez le tout et mettez le sucre.'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Le tour est joué !'}]","[{'id_ingre': 1, 'nom_ingre': 'fraises', 'quantity': '250', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67613_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'lait', 'quantity': 'empty', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67388_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'sucre', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'cerises', 'quantity': '10', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67491_w96h96c1cx350cy350.jpg'}]"
156,smoothie nectarine,https://assets.afcdn.com/recipe/20130823/63411_w96h96c1cx1872cy2808.jpg,6 min,6 min,-,-,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': ""Mettre le yaourt, le lait et la nectarine lavée et dénoyautée dans un mixeur et mixer jusqu'à obtenir une substance crémeuse ou liquide. Puis servir dans un verre avec 1 ou 2 glaçons. ""}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Savourer!!! '}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""PS: La nectarine peut être remplacée par n'importe quel autre fruit mais ne pas modiier les quantités.""}]","[{'id_ingre': 1, 'nom_ingre': 'lait', 'quantity': '5', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67388_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'nectarine', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67501_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'yaourt nature', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67499_w96h96c1cx350cy350.jpg'}]"
157,Andouillettes au Maroilles,https://assets.afcdn.com/recipe/20130512/12922_w96h73c1cx256cy192.jpg,40 min,10 min,-,30 min,très facile,moyen,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Dans une petite poêle, faire fondre le beurre et y saisir les andouillettes sur toutes les faces pendant une dizaine de minutes. Les réserver. '}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Dégraisser la poêle et y faire suer les échalotes émincées, sans trop les colorer. '}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Disposer les andouillettes et les échalotes dans un petit caquelon et cuire au four thermostat 6 pendant une quinzaine de minutes. Retirer du four. '}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Allumer la partie grill du four. Déposer sur les andouillettes le maroilles en tranches fines et arroser du vin blanc sec. Mettre à gratiner sous le grill pendant environ 5 mn en surveillant la coloration. '}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Présenter dans le plat de cuisson en décorant de quelques brins de persil.'}]","[{'id_ingre': 1, 'nom_ingre': 'beurre', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 2, 'nom_ingre': 'vin blanc sec', 'quantity': '5', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67422_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'persil', 'quantity': '\xa0', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67650_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'andouillette', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20210308/118440_w96h96c1cx318cy315cxb636cyb630.jpg'}, {'id_ingre': 5, 'nom_ingre': 'maroilles', 'quantity': '200', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67531_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'échalotes', 'quantity': '4', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67402_w96h96c1cx3008cy2000.jpg'}]"
