name,url,img_data_url,category,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,zinc_mg,phosphorus_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_b6_mg,vitamin_c_mg,folate_mcg,thiamin_mg,riboflavin_mg,vitamin_e_iu_IU,vitamin_k_mcg,biotin_mcg,vitamin_b12_mcg,mono_fat_g,poly_fat_g,trans_fatty_acid_g,omega_3_fatty_acid_g,omega_6_fatty_acid_g
French Breakfast Puffs,https://www.allrecipes.com/recipe/24149/french-breakfast-puffs/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5427303.jpg,"Bread,Quick Bread Recipes","This was a favorite recipe of mine growing up. Now, I continue to make them for my husband and I. These muffins are easy to make, and quite tasty.",4.43,266,270,"1 ½ cups all-purpose flour , 1 ½ teaspoons baking powder , ½ teaspoon salt , ¼ teaspoon nutmeg , ½ cup white sugar , ⅓ cup shortening , 1 egg , ½ cup milk , ½ cup white sugar , 1 teaspoon ground cinnamon , 6 tablespoons margarine, melted","Preheat oven to 350 degrees F (175 degrees C). Grease 12 muffin cups or line cups with paper muffin liners. In a large bowl, whisk together flour, baking powder, salt, and nutmeg. In a separate bowl, cream together 1/2 cup sugar and shortening. Beat in egg. Stir flour mixture into shortening mixture alternately with milk. Beat well. Spoon batter into prepared muffin cups. Bake in preheated oven for 20 to 25 minutes. While muffins are baking, combine 1/2 cup sugar and 1 teaspoon cinnamon. Remove muffins from oven and muffin pan. Immediately, dip the tops of the muffins into the melted margarine, then into the sugar/cinnamon mixture. Repeat with each muffin, until all muffin tops are covered. Serve warm.",5 mins,25 mins,30 mins,12,1 dozen,231.1,29.5,17.3,11.8,2.6,16.3,2.5,0.5,214.2,106.1,45.6,0.9,5.6,41.8,,,275.1,1.5,,,31.2,0.1,,,,,,,,,,
Sweet Chili Thai Sauce,https://www.allrecipes.com/recipe/87872/sweet-chili-thai-sauce/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1813162.jpg,"Appetizers and Snacks,Spicy","A savory sauce to use as a dip with shrimp or spring rolls, in stir-fries and noodle dishes, even on whole wheat pizza crust instead of typical pizza sauce with feta, sun-dried tomatoes, chicken, and vegetables.",4.45,182,179,"1 cup water , 1 cup rice vinegar , 1 cup sugar , 2 teaspoons fresh ginger root, minced , 1 teaspoon garlic, minced , 2 teaspoons hot chile pepper, minced , 2 teaspoons ketchup , 2 teaspoons cornstarch","Pour water and vinegar into a saucepan, and bring to a boil over high heat. Stir in sugar, ginger, garlic, chile pepper, and ketchup; simmer for 5 minutes. Stir in cornstarch. Remove saucepan from stove to cool. Then transfer to a bowl, cover, and refrigerate until needed.",15 mins,5 mins,20 mins,24,24 servings,33.9,8.7,8.4,,,,,,5.0,,0.7,,0.3,3.9,,,7.1,,,0.8,0.1,,,,,,,,,,,
Cervelle de Canut,https://www.allrecipes.com/recipe/284142/cervelle-de-canut/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9181647.jpg,"Appetizers and Snacks,Dips and Spreads Recipes","Cervelle de canut is a French specialty from Lyon and literally means 'silk worker's brain', named for the silk weavers of 19th century Lyon who were called 'canuts'. It's a fantastic nibble. Spread it over crusty bread.",0.0,0,1,"9 ounces fromage blanc , 2 tablespoons creme fraiche , 1 tablespoon white wine vinegar , 2 tablespoons olive oil , 1 medium shallot, finely chopped , 1 tablespoon chopped fresh tarragon , 1 tablespoon chopped fresh chives , 1 tablespoon chopped fresh chervil , 1 clove garlic, finely chopped ,  sea salt and freshly ground black pepper to taste","Combine fromage blanc, creme fraiche, vinegar, and oil in a small bowl. Whisk until smooth. Stir in shallot, tarragon, chives, chervil, and garlic. Season with salt and pepper. Chill for 2 to 3 hours before serving.",10 mins,,2 hrs 10 mins,6,6 servings,94.9,3.4,0.5,6.4,1.8,6.8,5.0,0.1,64.0,57.6,6.3,0.2,2.6,35.9,,,127.2,0.1,,1.2,3.4,,,,,,,,,,,
Fantastic Onion Ring Batter,https://www.allrecipes.com/recipe/238377/fantastic-onion-ring-batter/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9238141.jpg,"Side Dish,Vegetables","These are great homemade onion rings that are batter-fried rather than having a bread crumb coating. They are addictive, so be careful!",4.07,83,85,"2 large onions, cut into rings , 1 cup all-purpose flour , 2 tablespoons all-purpose flour , 1 cup milk , 1 egg , 2 tablespoons vegetable oil , 1 teaspoon salt ,  vegetable oil for frying","Soak onion rings in a bowl of ice water for 1 hour; drain and pat dry with paper towels. Whisk 1 cup plus 2 tablespoons flour, milk, egg, 2 tablespoons vegetable oil, and salt together in a bowl until smooth. Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C). Dip onion rings in the batter, working in batches, until evenly coated and arrange in 1 layer on a plate. Fry the battered onion rings, working in batches, until browned, about 5 minutes. Transfer fried onion rings to a paper towel-lined plate using a slotted spoon.",15 mins,20 mins,1 hr 35 mins,8,8 servings,230.8,18.4,3.1,15.9,2.5,25.7,4.0,1.1,313.8,142.8,50.4,1.0,11.7,127.7,,,88.8,1.9,,2.8,43.8,0.2,,,,,,,,,,
Puffed Caramel Corn,https://www.allrecipes.com/recipe/259226/puffed-caramel-corn/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5269304.jpg,"Desserts,Candy Recipes","Puffed corn can be found in the potato chip aisle of your grocery store. This is a great caramel corn without hulls or unpopped kernels. Warning: you need to make a double batch of this because it doesn't last long, at least not in my house. Very addicting. Love it!",4.91,34,27,"1 (8 ounce) bag corn puffs (such as O-Ke-Doke®) , 1 cup salted peanuts (Optional), 1 cup butter , 1 cup packed brown sugar , ½ cup light corn syrup , 1 teaspoon baking soda","Preheat oven to 250 degrees F (120 degrees C). Combine corn puffs and peanuts in a large roasting pan. Bring butter, brown sugar, and corn syrup to a boil in a heavy 2-quart saucepan. Cook and stir for 2 minutes. Remove from heat; stir in baking soda until mixture foams up. Pour over corn-peanut mixture and toss well using rubber spatulas. Bake in the preheated oven, stirring every 10 to 15 minutes, until a cooled piece of corn is crunchy, about 45 minutes. Spread on waxed paper to cool. Break apart and transfer to an airtight container.",15 mins,52 mins,1 hr 7 mins,8,8 servings,631.3,62.0,33.7,42.2,17.6,62.1,6.2,2.1,787.5,380.0,58.6,1.3,41.0,219.6,,,745.4,5.2,,,46.0,0.2,,,,,,,,,,
Homemade Beef Jerky,https://www.allrecipes.com/recipe/241555/homemade-beef-jerky/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2191857.jpg,"Appetizers and Snacks,Meat and Poultry","Thanks to a new wave of modern day cave-people, eating healthy, high-protein snacks is all the rage, and while you can find many artisan brands out there, making your own is fun, easy, and using this method, relatively quick. Have your butcher slice the beef for you.",4.64,213,212,"¾ cup Worcestershire sauce , ¾ cup soy sauce , 1 tablespoon smoked paprika, or to taste , 1 tablespoon honey, or more to taste , 2 teaspoons freshly ground black pepper , 1 teaspoon red pepper flakes , 1 teaspoon garlic powder , 1 teaspoon onion powder , 2 pounds beef top round, thinly sliced","Whisk Worcestershire sauce, soy sauce, paprika, honey, black pepper, red pepper flakes, garlic powder, and onion powder together in a bowl. Add beef to bowl and turn to coat beef completely. Cover the bowl with plastic wrap and marinate in the refrigerator, 3 hours to overnight. Preheat oven to 175 degrees F (80 degrees C). Line a baking sheet with aluminum foil and place a wire rack over the foil. Transfer beef to paper towels to dry. Discard marinade. Arrange beef slices in a single layer on the prepared wire rack on the baking sheet. Bake beef in the preheated oven until dry and leathery, 3 to 4 hours. Cut with scissors into bite-size pieces.",15 mins,3 hrs,6 hrs 15 mins,6,6 servings,285.5,13.9,7.1,10.5,3.9,80.5,32.7,0.9,2178.6,94.6,54.6,5.8,44.7,679.4,,,933.9,8.2,,5.9,17.7,0.1,,,,,,,,,,
Chef John's Hot Sloppy Joe Dip,https://www.allrecipes.com/recipe/257030/chef-johns-hot-sloppy-joe-dip/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4465996.jpg,"Appetizers and Snacks,Dips and Spreads Recipes","For me this checks all the boxes for a hot party dip. It's relatively cheap and easy to make, but maybe more importantly, it's great hot, warm, or room temp. And it's also incredibly versatile.",4.35,43,33,"2 pounds extra lean ground beef , 2 green bell peppers, diced , 1 onion, diced , 4 cloves garlic, minced , 3 tablespoons all-purpose flour , 2 tablespoons brown sugar , 2 teaspoons kosher salt, or to taste , 1 teaspoon ground black pepper ,  cayenne pepper, to taste , 2 cups chicken broth , 1 cup ketchup , 1 tablespoon Dijon mustard , 1 teaspoon Worcestershire sauce , 1 cup shredded Cheddar cheese, divided","Place ground beef, bell pepper, onion, garlic, flour, brown sugar, salt, pepper, and cayenne pepper in a heavy pot. Place pot over medium-high heat. Break up and stir mixture as it heats. Cook and stir until most of the moisture has evaporated and mixture is crumbly and begins to brown, about 15 minutes. Stir in chicken broth, ketchup, mustard, and Worcestershire sauce. Mix well and bring mixture to a simmer. Reduce heat to medium. Cook, stirring occasionally, until mixture is thick, about 45 minutes. Set oven rack about 6 inches from the heat source and preheat the oven's broiler. Transfer mixture to oven-proof sauce pan. Top with 1/2 of the shredded cheese. Poke cheese down into the dip with a fork, stirring lightly. Top with remaining cheese. Place pan under broiler; broil until cheese is browned, and mixture is hot and bubbly, about 5 minutes.",15 mins,1 hr 5 mins,1 hr 20 mins,12,12 servings,229.8,11.6,7.9,11.7,5.3,66.5,19.2,0.7,832.4,105.1,85.6,2.0,22.1,300.9,,,362.4,6.9,,20.1,16.9,0.1,,,,,,,,,,
Grandma's Stuffed Celery,https://www.allrecipes.com/recipe/216445/grandmas-stuffed-celery/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F525770.jpg,"Appetizers and Snacks,Cheese","My grandma always made stuffed celery at Thanksgiving and Christmas. As kids, we were always so hungry before the holiday meal we would sneak and get a piece of celery to curb our appetite. It was nearly all gone by meal time and we always got fussed at with hint of a grin from Grandma. Now I never have holiday meals without it!",4.51,55,54,"1 bunch celery - large stalks washed, trimmed, and cut into 3 sections , 2 (8 ounce) packages cream cheese at room temperature , ¾ cup chopped pimento-stuffed green olives , 2 cloves garlic, finely minced , 1 pinch salt and freshly cracked black pepper to taste","Thoroughly dry each piece of celery with paper towels. Mix the cream cheese, olives, garlic, salt, and black pepper in a bowl. Using a knife, spread a generous amount of cream cheese filling down the center indentation of each celery piece. Serve immediately or refrigerate.",30 mins,,30 mins,24,24 servings,76.4,1.4,0.4,7.3,4.2,20.5,1.7,0.4,224.5,65.8,28.2,0.4,5.1,87.1,,,397.3,0.3,,1.6,10.8,,,,,,,,,,,
Old-Fashioned Roasted Pecans,https://www.allrecipes.com/recipe/146707/old-fashioned-roasted-pecans/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F72125.jpg,"Appetizers and Snacks,Nuts and Seeds","My ex-mother-in-law lives in the South and has lots of pecan trees. She sends me bags of shelled pecans every year for Christmas. I found out how they make the roasted pecans at the fair. Even though they use big roasters, these turn out just as great.",4.87,134,141,"1 egg white , 1 tablespoon water , 2 ¼ cups pecan halves , ½ cup white sugar , ¼ teaspoon salt , 1 ½ teaspoons ground cinnamon","Preheat oven to 225 degrees F (105 degrees C). Lightly grease a rimmed baking pan. Combine the egg white and water in a mixing bowl; beat until fluffy. Fold in the pecans to coat evenly. Combine the sugar, salt, and ground cinnamon in a shaker or cup with a lid. Dust the pecans evenly with the sugar mixture. Spread the nuts over the prepared pan. Bake in preheated oven until toasted and fragrant, stirring every 15 minutes, about 1 hour. Cool on pan, and store in an airtight container.",15 mins,1 hr,1 hr 15 mins,8,8 servings,282.7,17.5,13.9,24.1,2.1,,3.5,3.4,79.7,216.8,28.3,0.9,41.2,146.2,,,20.0,1.0,,0.4,7.6,0.2,,,,,,,,,,
Bacon Wrapped Green Beans,https://www.allrecipes.com/recipe/213036/bacon-wrapped-green-beans/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4519823.jpg,"Appetizers and Snacks,Wraps and Rolls","Bacon wrapped green beans sprinkled with a little brown sugar, salt and pepper and popped in the oven turn plain green beans into something guest will love and kids can't help but gobble up.",4.58,126,130,"1 (12 ounce) package bacon, strips cut in half , 1 (16 ounce) package frozen cut green beans , 2 tablespoons brown sugar ,  salt and pepper to taste","Preheat oven to 350 degrees F (175 degrees C). Grease a casserole dish. Set out the bacon, green beans and casserole dish in a little assembly line. Lay out a half strip of bacon. place a small bunch of green beans (6 or 7) onto the strip of bacon and roll up into a bundle. Place the bundle into the casserole dish, seam side down. Repeat with remaining bacon strips and green beans. You can pack these pretty tight in the pan, just know that if the bacon is touching another bundle they take some prying to get apart. Sprinkle with the brown sugar and salt and pepper. Bake in the preheated oven until browned and heated through, about 20 minutes.",15 mins,20 mins,35 mins,8,8 servings,225.8,7.2,4.7,19.2,6.4,28.9,5.7,1.5,355.2,172.4,19.9,0.8,5.4,93.0,,,161.2,2.3,,4.4,0.9,0.2,,,,,,,,,,
Boneless Buffalo Wings,https://www.allrecipes.com/recipe/151266/boneless-buffalo-wings/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2015%2F03%2F02%2F151266-Boneless-Buffalo-Wings-1052464-EmmieYum-2000.jpg,"Appetizers and Snacks,Spicy",What a great way to have chicken. Had these boneless wings a while back at a pub and fell in love with the taste. A nice change from your regular chicken wings. Serve with blue cheese dressing for dipping.,4.8,982,1022,"oil for deep frying , 1 cup unbleached all-purpose flour , 2 teaspoons salt , ½ teaspoon ground black pepper , ½ teaspoon cayenne pepper , ¼ teaspoon garlic powder , ½ teaspoon paprika , 1 egg , 1 cup milk , 3 skinless, boneless chicken breasts, cut into 1/2-inch strips , ¼ cup hot pepper sauce , 1 tablespoon butter","Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C). Combine flour, salt, black pepper, cayenne pepper, garlic powder, and paprika in a large bowl. Whisk together the egg and milk in a small bowl. Dip each piece of chicken in the egg mixture, and then roll in the flour blend. Repeat so that each piece of chicken is double coated. Refrigerate breaded chicken for 20 minutes. Fry chicken in the hot oil, in batches. Cook until the exterior is nicely browned, and the juices run clear, 5 to 6 minutes a batch. Combine hot sauce and butter in a small bowl. Microwave sauce on High until melted, 20 to 30 seconds. Pour sauce over the cooked chicken; mix to coat.",10 mins,20 mins,50 mins,3,3 servings,709.9,43.7,4.3,46.9,10.4,135.8,28.0,1.7,2334.5,421.7,130.8,3.5,41.2,389.2,,,750.9,15.2,,14.7,88.5,0.5,,,,,,,,,,
Easy Chicken Flautas,https://www.allrecipes.com/recipe/239051/easy-chicken-flautas/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2251133.jpg,"Appetizers and Snacks,Wraps and Rolls",Rolled tacos; these are the best. I learned how to make them and my husband loved them.,4.67,54,52,"¼ cup butter , ¼ cup all-purpose flour , ¼ cup minced onion , ¼ cup chopped black olives , 2 tablespoons lemon juice , 1 tablespoon oil , ¼ teaspoon ground paprika , ⅛ teaspoon ground black pepper , ⅛ teaspoon salt , 1 ½ cups cooked shredded chicken , 8 flour tortillas ,  oil for frying, or as needed ,  toothpicks","Melt butter in a skillet over medium heat; stir flour into butter until smooth. Add onion to flour-butter mixture; cook and stir until onion is softened, 5 to 10 minutes. Mix black olives, lemon juice, oil, paprika, black pepper, and salt into onion mixture; cook and stir until heated through, about 2 minutes. Stir chicken into mixture and remove skillet from heat and cover. Heat oil in a large, heavy saucepan or deep-fryer. Fill tortillas with chicken mixture. Roll tortilla around filling and secure with a toothpick. Fry the rolled tortillas, working in batches, in the hot oil until browned, about 2 minutes. Transfer fried tortillas to a paper towel-lined plate using a slotted spoon or tongs.",30 mins,20 mins,50 mins,8,8 servings,344.7,31.4,0.3,18.9,6.1,34.9,12.0,2.0,366.8,170.2,30.4,2.2,20.6,131.2,,,255.3,6.4,,2.2,69.9,0.3,,,,,,,,,,
No-Bake Energy Bites,https://www.allrecipes.com/recipe/239969/no-bake-energy-bites/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7697220.jpg,"Appetizers and Snacks,Snacks","This is a healthy take on the traditional no bake cookies. So good and good for you! I am always asked for this recipe every time I make them. They are a hit with the kids and the adults, and always go quick! I store them in the freezer because I think they taste best frozen, but not necessary.",4.8,669,692,"1 cup rolled oats , ½ cup mini semi-sweet chocolate chips , ½ cup ground flax seed , ½ cup crunchy peanut butter , ⅓ cup honey , 1 teaspoon vanilla extract","Combine oats, chocolate chips, flax seed, peanut butter, honey, and vanilla extract together in a bowl; form into balls using your hands. Arrange energy bites on a baking sheet and freeze until set, about 1 hour.",15 mins,,1 hr 15 mins,24,2 dozen bites,93.8,10.6,6.4,5.3,1.2,,2.5,1.9,27.9,48.1,13.9,0.6,30.2,94.4,,,,1.4,,,9.4,,,,,,,,,,,
Spam Musubi,https://www.allrecipes.com/recipe/49785/spam-musubi/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F02%2F39977.jpg,"Appetizers and Snacks,Meat and Poultry",Spam Musubi is a popular snack in Hawaii. It is a type of sushi that has marinated cooked spam in sushi. I got this recipe from a local Hawaiian friend when I was living there.,4.58,179,203,"2 cups uncooked short-grain white rice , 2 cups water , 6 tablespoons rice vinegar , ¼ cup soy sauce , ¼ cup oyster sauce , ½ cup white sugar , 1 (12 ounce) container fully cooked luncheon meat (e.g. Spam) , 5 sheets sushi nori (dry seaweed) , 2 tablespoons vegetable oil","Soak uncooked rice for 4 hours; drain and rinse. In a saucepan bring 2 cups water to a boil. Add rice and stir. Reduce heat, cover, and simmer for 20 minutes. Stir in rice vinegar, and set aside to cool. In a separate bowl, stir together soy sauce, oyster sauce, and sugar until sugar is completely dissolved. Slice luncheon meat lengthwise into 10 slices, or to desired thickness, and marinate in sauce for 5 minutes. In a large skillet, heat oil over medium high heat. Cook slices for 2 minutes per side, or until lightly browned. Cut nori sheets in half and lay on a flat work surface. Place a rice press in the center of the sheet, and press rice tightly inside. Top with a slice of luncheon meat, and remove press. Wrap nori around rice mold, sealing edges with a small amount of water. (Rice may also be formed by hand in the shape of the meat slices, 1 inch thick.) Musubi may be served warm or chilled.",25 mins,30 mins,5 hrs 25 mins,10,10 pieces,275.6,34.7,10.1,12.0,3.8,23.5,6.8,0.9,866.2,108.4,9.7,1.6,14.4,118.1,,,72.8,1.8,,0.8,51.4,0.1,,,,,,,,,,
Chicken Wing Dip,https://www.allrecipes.com/recipe/90544/chicken-wing-dip/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F07%2F22%2F7218765.jpg,"Appetizers and Snacks,Dips and Spreads Recipes","This tastes just like hot chicken wings, but without the mess. It is very addicting, and is perfect for football and tailgating season. Serve with tortilla chips. I take this whenever I have to bring a dish and am always asked for the recipe.",4.7,844,849,"2 (8 ounce) packages cream cheese, softened , ¾ cup pepper sauce (such as Frank's Red Hot®) , 1 cup Ranch-style salad dressing , 2 cups diced cooked chicken , 1 cup shredded Cheddar cheese","Preheat the oven to 350 degrees F (175 degrees C). In a medium bowl, stir together the cream cheese and hot pepper sauce until well blended. Mix in the Ranch dressing, chicken and Cheddar cheese. Spread into a 9x13 inch baking dish. Bake for 30 minutes in the preheated oven. If oil collects on the top, dab it off using a paper towel. Serve with tortilla chips.",10 mins,30 mins,40 mins,16,16 servings,239.9,1.6,0.7,21.8,9.5,57.0,9.4,0.1,357.2,196.1,92.3,0.7,9.2,93.4,,,655.1,3.1,,0.5,5.8,,,,,,,,,,,
Baked Pumpkin Spice Doughnuts,https://www.allrecipes.com/recipe/285703/baked-pumpkin-spice-doughnuts/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9408960.jpg,"Bread,Pastries","These are easy, delicious, tender, and moist baked pumpkin doughnuts! I love baked doughnuts - they are so quick and easy, and totally quench that occasional doughnut craving without having to heat up any oil... that makes them healthy too, right?!",0.0,0,0,"nonstick cooking spray , 1 ½ cups white sugar , 1 ½ cups pumpkin puree , 3 large eggs , ½ cup vegetable oil , 1 ½ teaspoons pumpkin pie spice , 1 ½ teaspoons salt , 1 ½ teaspoons baking powder , 1 ¾ cups all-purpose flour , 2 tablespoons all-purpose flour , ¼ cup white sugar , 1 teaspoon pumpkin pie spice","Preheat the oven to 350 degrees F (175 degrees C). Spray two 6-hole doughnut pans with cooking spray. Combine sugar, pumpkin puree, eggs, oil, pumpkin pie spice, salt, and baking powder for the doughnuts in the bowl of a stand mixer; mix until smooth. Gently stir in 1 3/4 cups plus 2 tablespoons flour until just combined. Divide batter among the 2 doughnut pans, filling each well about 3/4 of the way full. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 15 to 18 minutes. Remove doughnuts from oven and allow to cool for about 5 minutes. Gently transfer doughnuts to a wire rack (you can use a butter knife or small rubber spatula to help release them from the pan if needed). Combine sugar and pumpkin pie spice for the dusting on a large pie plate or in a resealable plastic bag. Gently coat doughnuts with the sugar mixture while still warm. Do wait until they have firmed up a little and aren't too fragile or they will crack and break. Best served warm.",25 mins,15 mins,45 mins,12,12 doughnuts,294.8,47.0,30.3,10.7,1.7,46.5,3.9,1.5,443.5,96.6,54.2,1.7,13.5,103.8,,,4828.0,2.1,,1.4,45.5,0.2,,,,,,,,,,
Grandma's Clover Leaf Rolls,https://www.allrecipes.com/recipe/213768/grandmas-clover-leaf-rolls/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4465707.jpg,"Bread,Yeast Bread Recipes",My Grandma's yeast rolls were always requested at family get-togethers. They're delicious and I cherish the memories I have of baking them with her.,4.39,36,34,"1 (.25 ounce) package active dry yeast , ¼ cup warm water (110 degrees F (43 degrees C)) , 1 cup milk , ¼ cup white sugar , ¼ cup vegetable shortening , 1 teaspoon salt , 1 egg , 3 ⅓ cups all-purpose flour","Heat the milk in a saucepan over medium heat until bubbles begin to form, but the milk is not simmering. Stir in the sugar, shortening, and salt; set aside until cooled to 110 degrees F (43 degrees C). Sprinkle the yeast over the warm water and set aside for 5 minutes. Beat the egg in a mixing bowl, then stir in the yeast and milk. Stir in half of the flour until no lumps remain, then stir in the remaining flour a little at a time until a smooth dough forms. Place into a greased bowl, turn once to grease the top, cover, and let rise until doubled in bulk, about 2 hours. Grease a 12 sectioned muffin tin. Deflate the dough, and place onto a well-floured work surface. Divide the dough into 36 pieces, and form into balls. Place 3 balls into each muffin cup. Cover, and let rise in a warm place until doubled in bulk, about 1 hour. Preheat an oven to 400 degrees F (200 degrees C). Bake in the preheated oven until golden, 12 to 15 minutes. Serve warm.",25 mins,15 mins,3 hrs 40 mins,12,12 clover rolls,198.1,31.9,5.2,5.5,1.5,17.1,5.0,1.1,209.1,49.1,31.9,1.8,11.0,85.1,,,58.7,3.3,,,80.2,0.3,,,,,,,,,,
Pork Dumplings,https://www.allrecipes.com/recipe/14759/pork-dumplings/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F704866.jpg,"Main Dishes,Dumpling Recipes","These tasty treats make a perfect appetizer or you can serve them as a main dish. For a main dish count on about 15 dumplings per person. Serve with hoisin sauce, hot Chinese-style mustard and toasted sesame seeds.",4.62,369,379,"100 (3.5 inch square) wonton wrappers , 1 ¾ pounds ground pork , 1 tablespoon minced fresh ginger root , 4 cloves garlic, minced , 2 tablespoons thinly sliced green onion , 4 tablespoons soy sauce , 3 tablespoons sesame oil , 1 egg, beaten , 5 cups finely shredded Chinese cabbage","In a large bowl, combine the pork, ginger, garlic, green onion, soy sauce, sesame oil, egg and cabbage. Stir until well mixed. Place 1 heaping teaspoon of pork filling onto each wonton skin. Moisten edges with water and fold edges over to form a triangle shape. Roll edges slightly to seal in filling. Set dumplings aside on a lightly floured surface until ready to cook. To Cook: Steam dumplings in a covered bamboo or metal steamer for about 15 to 20 minutes. Serve immediately.",,,,6,100 dumplings,751.5,81.1,1.2,28.8,8.7,128.9,39.2,3.4,1448.8,258.8,143.2,6.3,63.7,642.5,,,288.1,19.6,,18.8,177.0,1.4,,,,,,,,,,
Herb Buttermilk Biscuits,https://www.allrecipes.com/recipe/151075/herb-buttermilk-biscuits/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2095381.jpg,"Bread,Quick Bread Recipes","Light and fluffy, melt-in-your-mouth goodness!",4.49,35,40,"2 cups sifted all-purpose flour , 1 tablespoon baking powder , 1 pinch salt , 1 ½ teaspoons white sugar , 1 ½ teaspoons dried thyme , 1 ½ teaspoons dried savory , 1 teaspoon kelp powder , 1 tablespoon dried parsley , 1 tablespoon dried basil , ⅓ cup unsalted butter, softened , ¾ cup buttermilk","Preheat oven to 450 degrees F (230 degrees C). Whisk together the flour, baking powder, salt, sugar, thyme, savory, kelp, parsley, and basil in a large bowl. Cut in the butter with a knife or pastry blender until the mixture resembles coarse crumbs. Drizzle the buttermilk slowly over the flour mixture while tossing lightly with a fork, just until the flour mixture is moistened. Turn the dough out onto a floured board, and knead 4 to 5 times. Pat the dough into a circle, 3/4 inch thick, and cut biscuits with a 2 inch cookie cutter. Place biscuits 2 inches apart on a baking sheet. Bake in the preheated oven until golden brown, about 8 minutes. Serve warm.",20 mins,8 mins,28 mins,12,1 dozen,132.5,18.0,1.3,5.5,3.4,14.2,2.9,0.8,160.2,49.4,104.2,1.6,8.0,63.0,,,211.6,1.8,,0.5,39.8,0.2,,,,,,,,,,
